period,pallet_index,pallet_id,x,y,pending_quantity_before_round,planned_quantity_this_round,planned_main_workstation_index,planned_main_cache_pallet_index,planned_main_cache_x,planned_main_cache_y,dispatched
1,0,10000,18,8,45.00000000,0.29700162,3,70,20,5,0
1,1,10001,19,16,45.00000000,0.40751920,15,6,21,16,0
1,2,10002,14,12,69.00000000,0.25019574,14,38,12,16,0
1,3,10003,18,15,66.00000000,0.30423009,15,6,21,16,0
1,4,10004,14,6,57.00000000,0.27361946,2,101,12,5,0
1,5,10005,14,13,75.00000000,0.26879632,14,38,12,16,0
1,6,10006,21,16,122.00000000,119.52502034,15,6,21,16,1
1,7,10007,7,15,47.00000000,0.20978265,14,38,12,16,0
1,8,10008,11,16,65.00000000,62.38719335,14,38,12,16,1
1,9,10009,22,6,149.00000000,0.43397976,3,70,20,5,0
1,10,10010,20,15,30.00000000,0.40253269,15,6,21,16,0
1,11,10011,20,9,47.00000000,0.34341952,3,70,20,5,0
1,12,10012,19,12,192.00000000,0.24440205,15,6,21,16,0
1,13,10013,5,9,68.00000000,0.20159863,0,14,5,6,0
1,14,10014,5,6,66.00000000,13.19289362,0,14,5,6,0
1,15,10015,22,8,58.00000000,0.42590441,8,35,24,8,0
1,16,10016,8,13,99.00000000,0.23095862,14,38,12,16,0
1,17,10017,17,16,31.00000000,0.33557033,14,38,12,16,0
1,18,10018,7,9,54.00000000,0.22422766,2,62,9,9,0
1,19,10019,13,15,106.00000000,30.93653432,13,38,12,16,1
1,20,10020,23,9,36.00000000,0.43014545,8,35,24,8,0
1,21,10021,25,8,48.00000000,10.17918493,8,35,24,8,0
1,22,10022,12,8,40.00000000,0.27397493,2,101,12,5,0
1,23,10023,20,6,35.00000000,18.13107523,3,70,20,5,0
1,24,10024,8,8,106.00000000,0.26592267,2,62,9,9,0
1,25,10025,5,5,63.00000000,0.27493887,0,14,5,6,0
1,26,10026,25,13,92.00000000,71.86191091,9,115,26,13,1
1,27,10027,9,6,53.00000000,0.22355829,2,62,9,9,0
1,28,10028,6,16,55.00000000,0.20041191,14,38,12,16,0
1,29,10029,17,12,51.00000000,0.25934723,14,38,12,16,0
1,30,10030,14,5,118.00000000,0.37345394,2,101,12,5,0
1,31,10031,7,6,80.00000000,0.23700484,0,14,5,6,0
1,32,10032,23,8,37.00000000,9.45801257,8,35,24,8,0
1,33,10033,14,15,69.00000000,0.38684572,14,38,12,16,0
1,34,10034,24,5,89.00000000,0.38341383,8,35,24,8,0
1,35,10035,24,8,76.00000000,75.86244143,8,35,24,8,1
1,36,10036,23,12,58.00000000,0.36641925,9,115,26,13,0
1,37,10037,8,5,29.00000000,0.21252864,0,14,5,6,0
1,38,10038,12,16,62.00000000,61.90826723,14,38,12,16,1
1,39,10039,21,12,26.00000000,0.33831178,15,6,21,16,0
1,40,10040,6,9,49.00000000,0.20823995,0,14,5,6,0
1,41,10041,18,6,57.00000000,0.34257713,3,70,20,5,0
1,42,10042,18,16,29.00000000,0.35248975,15,6,21,16,0
1,43,10043,5,8,90.00000000,0.24628523,0,14,5,6,0
1,44,10044,22,13,55.00000000,0.36593011,9,115,26,13,0
1,45,10045,24,6,49.00000000,0.42389159,8,35,24,8,0
1,46,10046,7,5,33.00000000,0.21211467,0,14,5,6,0
1,47,10047,11,13,41.00000000,0.29903360,14,38,12,16,0
1,48,10048,6,15,131.00000000,0.24800154,12,120,5,15,0
1,49,10049,21,13,33.00000000,0.36896101,15,6,21,16,0
1,50,10050,26,9,65.00000000,0.40976390,8,35,24,8,0
1,51,10051,17,13,62.00000000,0.26460813,14,38,12,16,0
1,52,10052,26,8,32.00000000,0.45352762,8,35,24,8,0
1,53,10053,8,6,93.00000000,0.23177714,0,14,5,6,0
1,54,10054,24,9,39.00000000,9.62150132,8,35,24,8,0
1,55,10055,21,15,49.00000000,9.71579677,15,6,21,16,0
1,56,10056,9,13,81.00000000,0.23780780,14,38,12,16,0
1,57,10057,9,15,35.00000000,0.28578872,14,38,12,16,0
1,58,10058,11,5,35.00000000,0.32700641,2,101,12,5,0
1,59,10059,18,5,49.00000000,0.47028707,3,70,20,5,0
1,60,10060,11,9,169.00000000,0.28038427,2,62,9,9,0
1,61,10061,7,13,46.00000000,0.19564726,14,38,12,16,0
1,62,10062,9,9,49.00000000,0.33028449,2,62,9,9,0
1,63,10063,8,16,53.00000000,0.27192964,14,38,12,16,0
1,64,10064,11,8,62.00000000,0.23619111,2,62,9,9,0
1,65,10065,21,6,31.00000000,0.48914197,3,70,20,5,0
1,66,10066,11,6,28.00000000,0.27255833,2,101,12,5,0
1,67,10067,7,8,43.00000000,0.21449764,0,14,5,6,0
1,68,10068,17,5,36.00000000,0.34820386,3,70,20,5,0
1,69,10069,17,8,26.00000000,0.27549732,3,70,20,5,0
1,70,10070,20,5,182.00000000,172.95938196,3,70,20,5,1
1,71,10071,10,12,59.00000000,0.24644593,14,38,12,16,0
1,72,10072,5,13,46.00000000,0.18869610,12,120,5,15,0
1,73,10073,17,9,152.00000000,0.27062368,3,70,20,5,0
1,74,10074,22,5,92.00000000,0.56855551,3,70,20,5,0
1,75,10075,10,8,33.00000000,0.24729722,2,62,9,9,0
1,76,10076,24,12,43.00000000,0.44288974,9,115,26,13,0
1,77,10077,6,12,81.00000000,0.17637681,12,120,5,15,0
1,78,10078,18,9,53.00000000,0.27808909,3,70,20,5,0
1,79,10079,20,16,117.00000000,21.45921482,15,6,21,16,1
1,80,10080,6,5,61.00000000,0.22764813,0,14,5,6,0
1,81,10081,22,16,34.00000000,8.72045748,15,6,21,16,0
1,82,10082,9,8,187.00000000,0.31241222,2,62,9,9,0
1,83,10083,20,8,35.00000000,0.39239251,3,70,20,5,0
1,84,10084,6,6,30.00000000,0.28655854,0,14,5,6,0
1,85,10085,11,15,30.00000000,8.68524904,13,38,12,16,0
1,86,10086,13,8,62.00000000,0.25467782,2,101,12,5,0
1,87,10087,22,15,38.00000000,0.40039718,15,6,21,16,0
1,88,10088,10,9,38.00000000,0.27933779,2,62,9,9,0
1,89,10089,21,9,28.00000000,0.34285851,8,35,24,8,0
1,90,10090,23,6,59.00000000,0.36910308,8,35,24,8,0
1,91,10091,18,13,54.00000000,0.28078428,15,6,21,16,0
1,92,10092,22,9,36.00000000,0.36038434,8,35,24,8,0
1,93,10093,13,13,46.00000000,0.30630649,14,38,12,16,0
1,94,10094,13,9,26.00000000,0.25172869,2,62,9,9,0
1,95,10095,10,13,26.00000000,0.26197955,14,38,12,16,0
1,96,10096,13,16,38.00000000,37.83870158,13,38,12,16,1
1,97,10097,19,13,45.00000000,0.30316859,15,6,21,16,0
1,98,10098,7,12,53.00000000,0.19272168,2,62,9,9,0
1,99,10099,21,8,50.00000000,0.38190367,8,35,24,8,0
1,100,10100,8,15,51.00000000,0.23906362,14,38,12,16,0
1,101,10101,12,5,87.00000000,19.00226029,2,101,12,5,1
1,102,10102,5,16,33.00000000,0.19368584,12,120,5,15,0
1,103,10103,17,15,38.00000000,0.29877842,14,38,12,16,0
1,104,10104,12,15,27.00000000,25.94607850,14,38,12,16,1
1,105,10105,19,15,37.00000000,0.34070974,15,6,21,16,0
1,106,10106,13,6,53.00000000,0.29242278,2,101,12,5,0
1,107,10107,21,5,27.00000000,15.54331387,3,70,20,5,0
1,108,10108,14,8,30.00000000,0.25304387,2,101,12,5,0
1,109,10109,17,6,31.00000000,0.30046099,3,70,20,5,0
1,110,10110,12,12,33.00000000,0.30473391,14,38,12,16,0
1,111,10111,25,12,72.00000000,0.57325527,9,115,26,13,0
1,112,10112,13,12,63.00000000,0.26820747,14,38,12,16,0
1,113,10113,23,16,66.00000000,0.39199820,15,6,21,16,0
1,114,10114,14,9,124.00000000,0.27903613,2,62,9,9,0
1,115,10115,26,13,84.00000000,82.75061074,9,115,26,13,1
1,116,10116,8,9,61.00000000,0.25944169,2,62,9,9,0
1,117,10117,23,13,57.00000000,0.41068309,9,115,26,13,0
1,118,10118,24,16,70.00000000,0.34658261,15,6,21,16,0
1,119,10119,6,13,32.00000000,0.18577906,12,120,5,15,0
1,120,10120,5,15,118.00000000,0.25680016,12,120,5,15,0
1,121,10121,24,13,29.00000000,0.56937434,9,115,26,13,0
1,122,10122,19,9,68.00000000,0.29596186,3,70,20,5,0
1,123,10123,5,12,67.00000000,0.18028149,12,120,5,15,0
1,124,10124,12,9,120.00000000,0.30691606,2,62,9,9,0
1,125,10125,8,12,37.00000000,0.21460690,2,62,9,9,0
1,126,10126,26,12,40.00000000,29.91789002,9,115,26,13,0
1,127,10127,7,16,79.00000000,0.22356446,14,38,12,16,0
1,128,10128,9,5,77.00000000,0.22263158,2,101,12,5,0
1,129,10129,9,16,52.00000000,0.36266186,14,38,12,16,0
1,130,10130,6,8,47.00000000,0.21326331,0,14,5,6,0
1,131,10131,23,5,43.00000000,0.38147824,3,70,20,5,0
1,132,10132,11,12,31.00000000,0.26804884,14,38,12,16,0
1,133,10133,20,12,87.00000000,0.31452627,15,6,21,16,0
1,134,10134,25,9,104.00000000,0.52506852,8,35,24,8,0
1,135,10135,18,12,52.00000000,0.27111862,15,6,21,16,0
1,136,10136,14,16,28.00000000,8.33946138,13,38,12,16,0
1,137,10137,20,13,40.00000000,0.33440132,15,6,21,16,0
1,138,10138,22,12,46.00000000,0.34004114,9,115,26,13,0
1,139,10139,19,6,39.00000000,0.47292967,3,70,20,5,0
2,0,10000,18,8,45.00000000,0.09585210,4,70,20,5,0
2,1,10001,19,16,45.00000000,0.13719144,16,6,21,16,0
2,2,10002,14,12,69.00000000,0.08423162,14,38,12,16,0
2,3,10003,18,15,66.00000000,0.10123315,15,6,21,16,0
2,4,10004,14,6,57.00000000,0.09321214,2,101,12,5,0
2,5,10005,14,13,75.00000000,0.09666445,14,38,12,16,0
2,6,10006,21,16,42.00000000,41.73027548,15,6,21,16,1
2,7,10007,7,15,47.00000000,0.07148804,14,38,12,16,0
2,9,10009,22,6,149.00000000,0.18548610,4,70,20,5,0
2,10,10010,20,15,30.00000000,0.13630451,16,6,21,16,0
2,11,10011,20,9,47.00000000,0.11796505,4,70,20,5,0
2,12,10012,19,12,192.00000000,0.08305711,15,6,21,16,0
2,13,10013,5,9,68.00000000,0.07018715,0,14,5,6,0
2,14,10014,5,6,66.00000000,65.86589264,0,14,5,6,1
2,15,10015,22,8,58.00000000,5.65555459,8,35,24,8,0
2,16,10016,8,13,99.00000000,0.07406253,14,38,12,16,0
2,17,10017,17,16,31.00000000,0.12392929,14,38,12,16,0
2,18,10018,7,9,54.00000000,0.07790677,2,62,9,9,0
2,19,10019,13,15,26.00000000,25.94831696,14,38,12,16,0
2,20,10020,23,9,36.00000000,5.75101221,8,35,24,8,0
2,21,10021,25,8,48.00000000,47.44653238,8,35,24,8,1
2,22,10022,12,8,40.00000000,0.09358795,2,101,12,5,0
2,23,10023,20,6,35.00000000,34.90195206,3,70,20,5,0
2,24,10024,8,8,106.00000000,0.08934713,2,62,9,9,0
2,25,10025,5,5,63.00000000,4.48154653,0,14,5,6,0
2,26,10026,25,13,12.00000000,11.97730409,9,115,26,13,0
2,27,10027,9,6,53.00000000,0.07413687,0,14,5,6,0
2,28,10028,6,16,55.00000000,0.06891667,14,38,12,16,0
2,29,10029,17,12,51.00000000,0.08024306,14,38,12,16,0
2,30,10030,14,5,118.00000000,0.15569052,2,101,12,5,0
2,31,10031,7,6,80.00000000,0.09119631,0,14,5,6,0
2,32,10032,23,8,37.00000000,36.47141508,8,35,24,8,1
2,33,10033,14,15,69.00000000,54.20381994,14,38,12,16,1
2,34,10034,24,5,89.00000000,0.14682626,8,35,24,8,0
2,36,10036,23,12,58.00000000,0.14469246,9,115,26,13,0
2,37,10037,8,5,29.00000000,0.07061636,0,14,5,6,0
2,39,10039,21,12,26.00000000,0.11138269,15,6,21,16,0
